,Latest,IBNR,Ultimate,Mack Std Err
2001-01-01,3901463.0,,3901463.0,
2002-01-01,5339085.0,94633.81454878952,5433718.8145487895,71835.18719515459
2003-01-01,4909315.0,469511.29006423894,5378826.290064239,119473.73610530334
2004-01-01,4588268.0,709637.8208254622,5297905.820825462,131572.83289793582
2005-01-01,3873311.0,984888.6390497386,4858199.639049739,260530.01487690659
2006-01-01,3691712.0,1419459.4576616632,5111171.457661663,410406.8902227597
2007-01-01,3483130.0,2177640.6201355476,5660770.620135548,557795.5417483974
2008-01-01,2864498.0,3920301.0119525,6784799.0119525,874882.2176886941
2009-01-01,1363294.0,4278972.263261643,5642266.263261643,970959.7845874823
2010-01-01,344014.0,4625810.694424728,4969824.694424728,1362981.0697892713
